Word,Method1,Method2,Jaccard_Similarity
swelled,deepseek,gpt,0.45454545454545453
swelled,deepseek,llama,0.5
swelled,deepseek,mw,0.018604651162790697
swelled,deepseek,wordnet,0.0
swelled,gpt,llama,0.75
swelled,gpt,mw,0.018957345971563982
swelled,gpt,wordnet,0.0
swelled,llama,mw,0.018779342723004695
swelled,llama,wordnet,0.0
swelled,mw,wordnet,0.0
cig,deepseek,gpt,0.2857142857142857
cig,deepseek,llama,0.2
cig,deepseek,mw,0.0
cig,deepseek,wordnet,0.0
cig,gpt,llama,0.25
cig,gpt,mw,0.0
cig,gpt,wordnet,0.0
cig,llama,mw,0.0
cig,llama,wordnet,0.0
cig,mw,wordnet,0.0
analyser,deepseek,gpt,0.5
analyser,deepseek,llama,0.3333333333333333
analyser,deepseek,mw,0.0
analyser,deepseek,wordnet,0.0
analyser,gpt,llama,0.5
analyser,gpt,mw,0.0
analyser,gpt,wordnet,0.0
analyser,llama,mw,0.04
analyser,llama,wordnet,0.14285714285714285
analyser,mw,wordnet,0.047619047619047616
zimbabwe,deepseek,gpt,0.0
zimbabwe,deepseek,llama,0.0
zimbabwe,deepseek,mw,0.0
zimbabwe,deepseek,wordnet,0.4
zimbabwe,gpt,llama,0.0
zimbabwe,gpt,mw,0.0
zimbabwe,gpt,wordnet,0.0
zimbabwe,llama,mw,0.0
zimbabwe,llama,wordnet,0.0
zimbabwe,mw,wordnet,0.0
glossy,deepseek,gpt,0.5
glossy,deepseek,llama,0.4
glossy,deepseek,mw,0.25
glossy,deepseek,wordnet,0.14285714285714285
glossy,gpt,llama,0.75
glossy,gpt,mw,0.25
glossy,gpt,wordnet,0.14285714285714285
glossy,llama,mw,0.21428571428571427
glossy,llama,wordnet,0.125
glossy,mw,wordnet,0.11764705882352941
fish,deepseek,gpt,0.1875
fish,deepseek,llama,0.18181818181818182
fish,deepseek,mw,0.0
fish,deepseek,wordnet,0.058823529411764705
fish,gpt,llama,0.13333333333333333
fish,gpt,mw,0.0
fish,gpt,wordnet,0.125
fish,llama,mw,0.0
fish,llama,wordnet,0.06666666666666667
fish,mw,wordnet,0.0
evens,deepseek,gpt,0.0
evens,deepseek,llama,0.1111111111111111
evens,deepseek,mw,0.16666666666666666
evens,deepseek,wordnet,0.0
evens,gpt,llama,0.125
evens,gpt,mw,0.0
evens,gpt,wordnet,0.0
evens,llama,mw,0.0
evens,llama,wordnet,0.0
evens,mw,wordnet,0.045454545454545456
contribute,deepseek,gpt,0.375
contribute,deepseek,llama,0.2777777777777778
contribute,deepseek,mw,0.06944444444444445
contribute,deepseek,wordnet,0.19047619047619047
contribute,gpt,llama,0.35714285714285715
contribute,gpt,mw,0.028169014084507043
contribute,gpt,wordnet,0.10526315789473684
contribute,llama,mw,0.027777777777777776
contribute,llama,wordnet,0.047619047619047616
contribute,mw,wordnet,0.07042253521126761
wraith,deepseek,gpt,0.7142857142857143
wraith,deepseek,llama,0.7142857142857143
wraith,deepseek,mw,0.3888888888888889
wraith,deepseek,wordnet,0.3
wraith,gpt,llama,1.0
wraith,gpt,mw,0.2777777777777778
wraith,gpt,wordnet,0.2222222222222222
wraith,llama,mw,0.2777777777777778
wraith,llama,wordnet,0.2222222222222222
wraith,mw,wordnet,0.2
cerebrospinal,deepseek,gpt,0.0
cerebrospinal,deepseek,llama,0.0
cerebrospinal,deepseek,mw,0.0
cerebrospinal,deepseek,wordnet,0.0
cerebrospinal,gpt,llama,0.5
